state,economy,women_family,employment,public_services,security,health,breaking_news,politics
Chiapas,0.0379699830383058,0.3485788845756791,0.0711396433430718,0.0472741399790063,0.1671651586847505,0.1284906831251762,0.1090263686370892,0.0886201509374858
Queretaro,0.253776696114123,0.2954028001377736,0.0482830308008091,0.1170814595474633,0.1076418222705664,0.0731594397222144,0.0378285354081888,0.065942693275659
Baja California Sur,0.0493762963577687,0.2665727935365309,0.2643620336289992,0.0451502853049652,0.1098120020038562,0.1426776829508471,0.0395593252928166,0.0817237544408296
Guanajuato,0.0616629561274032,0.242712090358283,0.0096756199864574,0.0385003696154966,0.1394020101827712,0.3709116868466533,0.0192735397949018,0.1162096050622272
Hidalgo,0.0388419345817666,0.0379222824026945,0.0474573508808698,0.2238813912625998,0.1198126712290612,0.0753662824581977,0.4067515929562753,0.0477021955251108
Durango,0.0206272809434808,0.3959978226570629,0.1815837766254711,0.0193625593873537,0.0611385108124582,0.0416364475715636,0.0407252555298724,0.2370057752883003
Jalisco,0.0479755976051092,0.1476357179118368,0.0039951003510027,0.3737315612030812,0.0507296309027916,0.0055379276364468,0.2387336231455302,0.1302011093110419
Tabasco,0.1263259407356644,0.0226126864838805,0.0480290615223611,0.4308082408873963,0.0247401949031403,0.1539990039032229,0.0784095238522353,0.113550091955429
Zacatecas,0.2558343584144105,0.1044300072404217,0.0572357199472297,0.029992692248498,0.057087867601563,0.389199665861085,0.0453313892918493,0.0594548135638711
Veracruz,0.159625304835616,0.0796230637868748,0.0985586517531754,0.1205251084672328,0.0699054374341908,0.0682609026646051,0.1981989898763773,0.203969063556384
Sonora,0.3372723413851909,0.0279209662961447,0.0471996196116012,0.0255420024963134,0.070381288427546,0.0766898662202152,0.1244588052361291,0.2892409683954356
Puebla,0.1335084581001364,0.0190967314693115,0.0479129387470646,0.1012328606427502,0.4113834053262614,0.041938465921652,0.1452311576354565,0.0982736739923491
Baja California,0.0184277543280366,0.0242776815191294,0.2082937345869761,0.0450410324580438,0.3287460922102029,0.3074626870554932,0.0594944809870048,0.007390502204508
Ciudad de M̩xico,0.0426862815556619,0.0325881435892181,0.1681649202625241,0.1059244245488959,0.0394875072355175,0.2196968679263631,0.2318993356111121,0.1581315420941449
San Luis Potosi,0.0285395069312184,0.0781572181953778,0.0334872152467047,0.1669676583007939,0.1193655952961454,0.2432811685801754,0.1493393765101509,0.1797213354730798
Oaxaca,0.2388627419407924,0.1198048028430449,0.0219011882565617,0.1321767420553711,0.0869250460144634,0.038921674239204,0.2554252808135145,0.1051653872893297
Coahuila,0.0715851911137089,0.2668250742362582,0.1183968316210913,0.1088261662829469,0.0448777233695113,0.04600312642542,0.0279342326676803,0.3144208849312148
Nuevo Leon,0.061776662177378,0.0062952226408841,0.1609164986446161,0.2277452540439977,0.2400687015784735,0.0250208623780671,0.2519274725657747,0.0255446117941403
Tlaxcala,0.0655259683033956,0.4923588003559069,0.0334134329531275,0.0450752105753603,0.0656038426677577,0.1012951148629027,0.1028444663069991,0.0920567697360442
Quintana Roo,0.2535366833722999,0.0724266053182495,0.0087174682433157,0.0420926223292418,0.1829648452216304,0.0843181105836337,0.219863631318127,0.1349454001161837
Mexico,0.0973783762676801,0.1166193111152663,0.2264285077780934,0.0292761298447754,0.0894836439622463,0.142813181116411,0.2158602559701118,0.0811521924063099
Sinaloa,0.0823148965157597,0.0097990719401687,0.1799342826137255,0.3718687950533554,0.1884458732013358,0.0428084526460803,0.0795447682312393,0.0441160339965588
Campeche,0.1767967734271274,0.1349677703756336,0.0682850016158197,0.0751239962529857,0.1930615725190514,0.1301976983600191,0.1106458547106161,0.1103525201696605
Michoacan,0.3113597761232121,0.2183008951986055,0.1488321190634945,0.0414645952736004,0.059349999188624,0.0924203178192063,0.0746290063642607,0.0519618630331253
Tamaulipas,0.0575390758933228,0.175134514279791,0.0813324386447709,0.0807139395053274,0.290833530190409,0.1005187418367377,0.0766881611243396,0.1361909748801649
Chihuahua,0.0844338909807305,0.0461239782355046,0.0153674976287045,0.1671908959546924,0.6371496109311731,0.0058757029917661,0.0272703280328062,0.015781173024618
Yucatan,0.1191803586453256,0.0067209682831037,0.181342993934045,0.1639498187162935,0.0969857926930788,0.0755265593901748,0.2444718468176491,0.1105463415796246
Nayarit,0.0313117765741779,0.1287332422351975,0.1103708871745517,0.0965679436638211,0.2717371001090114,0.1785978253522556,0.0860661506850578,0.0958256934766262
Colima,0.1122188058625138,0.2721254487323085,0.1620426289786742,0.0884500870571057,0.0460862781187366,0.1440889080207967,0.140788537835974,0.0333238294356439
Guerrero,0.0917884466167313,0.0227534677578859,0.2905519682886876,0.1983608463972966,0.2188590123116264,0.0379713971854601,0.1211194673074724,0.0169280996255822
Morelos,0.0549086069422945,0.0375497023477282,0.0357264604780199,0.2641500424194227,0.056640191507396,0.0683630068896327,0.2800980479649234,0.2009981187149194
Aguascalientes,0.0319954756362983,0.1735101194238812,0.2145989705321128,0.0890023528585563,0.093786402301552,0.1436492867049497,0.1039173085579202,0.1486789189737869
