state,educational_lag_actual,educational_lag_predicted,health_actual,health_predicted,social_security_actual,social_security_predicted,income_actual,income_predicted,food_actual,food_predicted,housing_actual,housing_predicted,social_cohesion_predicted
Aguascalientes,16.5,12.762722242617013,26.2,32.539732334527606,34.7,40.38631491559005,33.0,38.03513179405063,15.6,18.675875971337952,3.6,15.037961148085163,8.599303734575747
Baja California,15.5,17.311388348300763,28.4,30.579587886912137,34.7,44.53963085355978,18.8,36.68945267269892,10.0,20.107216434198552,5.1,10.2331991420173,6.441077826138014
Baja California Sur,14.2,24.252213319177745,17.3,37.8007477115578,29.9,59.88939856910498,17.9,47.46515970940018,14.5,21.41719121728779,9.25,11.399586290694511,10.08284914645864
Campeche,20.3,23.36112376034547,34.6,37.8870871666759,54.7,59.7959320195027,51.0,53.14304722414148,22.0,18.12359186327854,24.9,13.99058672633739,8.29267875127169
Coahuila,13.5,12.89565591917821,19.7,31.734657994090234,24.4,33.13770665796049,28.8,39.908161816092836,13.2,20.216607819452303,3.4,13.061093869035206,8.055200466053186
Colima,15.6,16.980195131369705,21.9,26.73091042271939,35.9,45.54214196338359,27.3,48.95384083651734,14.0,17.889807643330933,4.75,12.793362401883211,8.245813167243933
Chiapas,31.1,23.925398739006464,66.1,36.93687148541457,77.9,59.21072172332746,70.0,52.18038203132842,20.9,17.909249860220438,36.45,16.557964089358336,5.455167386016393
Chihuahua,16.1,20.10335617530945,21.5,33.212344550530176,32.4,33.563370374402325,25.5,48.461731273677096,9.7,16.531342101752685,5.0,16.73551628897755,7.010895938713054
Ciudad de México,9.7,9.799323335997299,28.7,20.06466750574986,39.3,40.56560616582425,32.2,37.14914195635407,11.4,18.587337769001255,3.7,14.092452563022238,7.632512565944797
Durango,17.9,21.566384780405393,30.2,36.149694468057184,46.2,47.674021464416136,43.5,38.82177474663967,20.3,20.511653507867514,9.0,12.400541048761408,9.510070959184501
Guanajuato,22.8,18.323339578909017,33.2,32.89927849912123,50.2,41.54817293293357,41.4,50.84960729274382,18.3,18.48612738554898,7.800000000000001,12.551177074347283,7.7876969101776545
Guerrero,28.8,21.101180384465025,52.7,39.36340729276189,71.6,46.46903839364825,63.7,44.77813416482222,31.5,20.839452114982958,40.4,14.741301376883298,8.608107663652564
Hidalgo,20.0,17.630224901667745,50.4,38.04312265307005,65.4,59.9130546605181,46.1,52.483465195460205,19.1,27.60771916093745,15.45,16.399551062990884,9.677590321955893
Jalisco,20.4,16.689571410815613,37.1,28.868542466927494,42.0,43.98666174297708,29.2,43.1654469969769,13.8,20.935842362591615,4.75,17.41522535619181,6.907168752369612
Estado de México,16.3,16.14990326360344,44.2,36.48780512512732,52.1,45.78422964219614,52.9,39.948855572122056,20.3,17.695178104747086,8.05,11.897399793792793,8.041204101974111
Michoacán,28.9,19.522481718964656,51.2,35.5353864195138,62.8,48.788037944121385,46.4,42.11824120828,23.0,16.599356662695996,16.05,13.165290686365326,8.097458974986584
Morelos,17.9,18.67812128220401,46.4,34.63513369527136,58.0,42.31109225370545,47.8,51.31339308791603,18.5,17.57287842399803,13.7,16.59470129059418,7.563506467447831
Nayarit,20.3,19.000420091135574,34.1,27.103789424733968,51.5,58.39217074182895,35.3,44.39615457309786,17.0,19.27155149693667,12.600000000000001,17.03808892837086,9.039660616066069
Nuevo León,13.5,13.432691661343323,22.8,27.2697028509767,27.2,43.42440015057469,25.7,39.51250852513577,11.7,17.190413563570132,3.5,18.445497962165398,7.977049622980877
Oaxaca,29.1,20.7426142354918,65.7,35.48665437228422,74.3,54.64657809504517,61.4,51.65142233840091,28.6,20.64704513372158,38.150000000000006,15.371258093647459,8.575853714342236
Puebla,21.9,19.216461742092243,48.3,40.96688958073141,67.3,56.62803092297118,60.8,39.18370699121598,22.2,24.625260912410486,19.25,13.128392618119573,8.337369634902299
Querétaro,17.6,20.02844360538971,30.4,34.64852688003307,43.2,52.914181597706175,29.2,49.80817159012901,13.0,17.35044855849697,6.4,12.530311863151859,5.56342396446199
Quintana Roo,16.5,21.80439229436014,32.4,39.51722089534514,42.4,50.234538803753416,33.0,49.52181154966627,15.0,23.67083202396361,18.25,12.919197998071015,8.54929474782142
San Luis Potosí,20.6,20.199276405556922,34.6,27.158117149988712,48.2,57.02889040828521,42.3,56.1497588604907,13.9,17.962763210536888,16.5,13.055479622198597,7.941633044579852
Sinaloa,17.0,18.52044319585235,26.6,34.58207695129163,39.1,52.974074603540416,28.3,41.18660847096825,17.3,19.009422051966737,8.399999999999999,17.327970607725312,8.301475940062899
Sonora,14.6,14.720992450633943,24.4,36.29236543603676,33.2,37.01092586440099,27.8,44.17118593553986,19.6,20.357135348158774,8.649999999999999,13.157957081686485,9.79403488484893
Tabasco,17.9,18.11367200716986,44.8,37.44876803245891,58.3,61.865629459257846,50.1,44.89335670260189,38.9,21.796275590602107,28.1,19.773940218383945,10.130452740875254
Tamaulipas,16.1,15.778639056780282,27.9,34.130102191700345,39.4,43.24470097732905,37.5,41.61080738389454,12.4,18.76592554934216,6.449999999999999,13.828129059401602,7.119918302544937
Tlaxcala,16.1,17.861515744761697,45.2,35.13552012492823,61.9,55.408639763649816,62.9,51.121614548001546,22.7,22.800958288384734,8.149999999999999,14.916199385328401,6.899509878592695
Veracruz,25.5,20.074704680059742,49.2,36.887548560638315,60.9,47.31502996470575,57.7,44.418632715910334,21.6,21.967753012708627,25.0,15.41135123847991,8.10133012235166
Yucatán,21.2,21.58340007762027,35.1,40.02698082758505,45.8,41.44275044869471,45.7,43.063203846485244,15.4,16.292653562624015,23.7,16.56158753783287,9.048296763583158
Zacatecas,20.7,20.324567926483784,36.7,34.586623544938135,57.0,63.4041343155252,53.0,54.89273539388621,16.6,15.750191526123883,6.0,15.693686147080992,7.032239007273858
