,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Aguascalientes,0.13945617378918881,0.05847987445920875,0.12799270168506136,0.1929525315270841,0.1791324509803744,0.10874502731080855,0.10910019818535101,0.07943008806999699
Baja California,0.11393615489977658,0.06994283957340355,0.07251096922685678,0.05567392726400297,0.11207196739530761,0.1809661659302798,0.16802812104626577,0.22309164338631138
Baja California Sur,0.1423918943776491,0.16225398088033555,0.17590411070123294,0.09537330745071908,0.10181007099017522,0.1317654308283104,0.09289787206879895,0.09514098130274667
Campeche,0.16336317612299825,0.1404993569855739,0.14436639846976976,0.10063797114156026,0.1433189525479724,0.07559755357215181,0.1452999263399698,0.08450788636451009
Chiapas,0.06249399373397479,0.057168751688162135,0.20615122590659776,0.05249732660504206,0.07726961506335413,0.10741683863793818,0.29711715510853215,0.135633334590376
Chihuahua,0.010890258627680848,0.03542312281660554,0.16588076695034001,0.157268996450414,0.12951499800382746,0.019440831946215563,0.022061115207689254,0.45439735627652045
Coahuila,0.09863054933949325,0.11353054471700647,0.10297960068864155,0.18817106556084387,0.11990599970765498,0.12304579167344085,0.20107209568255338,0.048374636919340526
Colima,0.11028037765592234,0.12881054385166765,0.17489885873567665,0.12211090811376359,0.14122228245994506,0.07015653665755724,0.08355695691618219,0.16369640082439024
Durango,0.15924799206796997,0.28999142167451236,0.049375414958272815,0.024707862125373393,0.3146886001754756,0.060855541769301795,0.0482492236866338,0.04645261121214826
Guanajuato,0.2067952167211449,0.04650166688680279,0.04518846598758814,0.01861105325675368,0.06413733768065825,0.28704441133723185,0.07152449420336035,0.25605005401660474
Guerrero,0.18930973314621738,0.060611685792953326,0.09086292651739672,0.22849836845803195,0.03797057701542809,0.14519622257577317,0.06339832588349816,0.17960706652104305
Hidalgo,0.1913717334106798,0.09892579530161329,0.1780576950601117,0.06487438921436979,0.14659896792117053,0.12897446835705628,0.06284254596403148,0.12400746704095436
Jalisco,0.11552841442228357,0.012935121406867913,0.14589970517623688,0.14357299251491543,0.19442527114877617,0.19421058107301217,0.034608226804770006,0.15465412155547897
Mexico,0.09561018605505364,0.11122844684728499,0.19268299639927763,0.14399600036387397,0.20157324829772302,0.06595871174534662,0.043529934028616664,0.14207772612792582
Michoacan,0.16163727097103167,0.08071186325956559,0.07100907706792584,0.2182405107936236,0.11939408415798418,0.048355755545610286,0.2081822564858083,0.08767577837311764
Morelos,0.036223212887473634,0.21312267238622515,0.19630290125526573,0.21895200356635455,0.03894974789663888,0.042042387264055806,0.2092777106119499,0.03969150543201732
Nayarit,0.09577290379317953,0.08842085489667341,0.12766033054855097,0.12847525791310874,0.17241147930016282,0.1471836107610714,0.10601511749218652,0.13139957327295348
Nuevo Leon,0.20061056941335514,0.01836882226508737,0.0843033467760842,0.36253005720087716,0.15270414544448102,0.01835408738831099,0.08142132686534216,0.07715460267059455
Oaxaca,0.06692051450089098,0.10888078706488252,0.18826156957761553,0.04906241854963203,0.21689620009020497,0.13784152053935358,0.07764897246528656,0.15068848583823405
Puebla,0.3390106568728874,0.12687588287461438,0.02577888450710353,0.14647454415972463,0.07852380017904874,0.0901413146406412,0.15128755949489878,0.03675885514051976
Queretaro,0.1989542820148817,0.06544833228484107,0.09922646746742533,0.07482070676964178,0.2325913937605957,0.0994315391859739,0.16710082162247536,0.05721752851429979
Quintana Roo,0.09511476321290804,0.2431016731291543,0.06286756483267152,0.09053125962804105,0.17033515544873318,0.13731426254809045,0.09917460349821389,0.0979203679506089
San Luis Potosi,0.1914017390022699,0.1927164771541804,0.15653037903753372,0.04777621684338886,0.05032204323426752,0.22479426226155766,0.10235690060981886,0.02971738114390274
Sinaloa,0.12076899237210477,0.1661881743966858,0.0789318806410196,0.07597476940354461,0.0885996293304685,0.06704358981916642,0.247057341282844,0.15210503213152604
Sonora,0.14205748096862497,0.08521059969144355,0.07397825173882329,0.27933298649792204,0.03586601694753833,0.13711350387166754,0.029580098047249766,0.21252945610098528
Tabasco,0.19436382933890026,0.1342880522682219,0.029748489365842838,0.09059379719550054,0.030244612893425647,0.17678492860700032,0.07961821027580698,0.2607806464956211
Tamaulipas,0.09224881310405275,0.025499117063646524,0.1850964097897301,0.10161461913031147,0.04607660423323889,0.20322506005339508,0.13939473735080152,0.20254966824074458
Tlaxcala,0.13780947325236625,0.1951535102243269,0.09628862770716622,0.17068200319349427,0.05523758677326396,0.15519690841604897,0.1329544227711724,0.05001367115519447
Veracruz,0.14366477429282848,0.11312132710534555,0.16967700404524114,0.0592158309044333,0.31412373439352104,0.03205559835220131,0.061650242708891495,0.1015935666029022
Yucatan,0.16358589738951076,0.09672863870148353,0.1064057763915253,0.19072972732304694,0.058747430107906326,0.17487223875267055,0.10667185269014708,0.0964306702673162
Zacatecas,0.07429539970530386,0.1070197334469716,0.10706373785710617,0.17716209296164004,0.10054782793870612,0.23014584504498428,0.14676984012228575,0.05333015148230435
Ciudad de M̩xico,0.22639511237274018,0.1417224538141957,0.09628122962249354,0.11016660432208729,0.22326131303613403,0.0665282943307067,0.07165791592541423,0.06037685959254264
